arm,vendor,model,category,task,trial,effort,mode,seconds,input_tokens,cache_read_tokens,output_tokens,reasoning_tokens,cost_usd,passed,tests_failed,grade_seconds,notes,session_path,log_path
deepseek-flash,deepseek,deepseek-v4-flash,coding,c2_perf,2,high,agentic,184,12507,136960,18797,16244,0.007398,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_coding-c2_perf_t2--/session-5b6ebd0b-a0b3-47c1-9368-6afe774874d7/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_coding-c2_perf_t2.log
deepseek-pro,deepseek,deepseek-v4-pro,agentic-workflow,a2_buildtestfix,1,high,agentic,112,12730,107392,10795,8803,0.015640,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_agentic-workflow-a2_buildtestfix_t1--/session-c05fb4d5-f127-45b9-abb5-4fe5563b8978/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_agentic-workflow-a2_buildtestfix_t1.log
deepseek-pro,deepseek,deepseek-v4-pro,coding,c1_deadlock,1,high,agentic,189,16179,174848,13845,10476,0.020309,1,0,4,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_coding-c1_deadlock_t1--/session-deee77f6-adc3-4ce1-a864-00546e5fac99/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_coding-c1_deadlock_t1.log
deepseek-pro,deepseek,deepseek-v4-pro,coding,c2_perf,1,high,agentic,110,10281,65792,9755,7308,0.013358,1,0,1,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_coding-c2_perf_t1--/session-8c8c29ea-33fa-472b-b908-7d4ac4dc1521/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_coding-c2_perf_t1.log
deepseek-pro,deepseek,deepseek-v4-pro,agentic-workflow,a1_chained,2,high,agentic,45,14349,98688,4217,1300,0.010524,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_agentic-workflow-a1_chained_t2--/session-79a657bd-c1ad-49a2-a6cf-462e55b41696/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_agentic-workflow-a1_chained_t2.log
deepseek-pro,deepseek,deepseek-v4-pro,agentic-workflow,a2_buildtestfix,2,high,agentic,45,12455,66816,4491,2743,0.009700,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_agentic-workflow-a2_buildtestfix_t2--/session-a00f10c2-4971-4232-a850-3d33762716f3/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_agentic-workflow-a2_buildtestfix_t2.log
deepseek-pro,deepseek,deepseek-v4-pro,coding,c1_deadlock,2,high,agentic,207,18400,312576,15672,12195,0.023988,1,0,4,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_coding-c1_deadlock_t2--/session-e8a0b74a-9d0e-4b55-9d35-1b19b309378d/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_coding-c1_deadlock_t2.log
grok,grok,grok-4.6,agentic-workflow,a2_buildtestfix,1,high,agentic,29,14008,57472,1608,0,0.049158,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_agentic-workflow-a2_buildtestfix_t1--/session-852e2879-e03a-45c0-a234-db16f787fa33/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_agentic-workflow-a2_buildtestfix_t1.log
grok,grok,grok-4.6,coding,c1_deadlock,1,high,agentic,209,35255,114560,2947,0,0.111104,1,0,4,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_coding-c1_deadlock_t1--/session-51ae1f6a-f13d-4b85-9073-a2e8725586a9/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_coding-c1_deadlock_t1.log
grok,grok,grok-4.6,coding,c2_perf,1,high,agentic,80,13854,57728,1560,0,0.048614,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_coding-c2_perf_t1--/session-7c1334ba-3d7d-459c-aee2-be3af418f8c3/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_coding-c2_perf_t1.log
grok,grok,grok-4.6,agentic-workflow,a1_chained,2,high,agentic,99,15664,92416,1830,0,0.060791,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_agentic-workflow-a1_chained_t2--/session-6c59c72e-f78a-45f6-af33-32e057353873/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_agentic-workflow-a1_chained_t2.log
grok,grok,grok-4.6,agentic-workflow,a2_buildtestfix,2,high,agentic,28,14191,57856,1614,0,0.049637,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_agentic-workflow-a2_buildtestfix_t2--/session-2b9760ac-7be4-450d-8f5d-6455170db658/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_agentic-workflow-a2_buildtestfix_t2.log
grok,grok,grok-4.6,coding,c1_deadlock,2,high,agentic,242,58747,127232,2784,0,0.159644,1,0,3,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_coding-c1_deadlock_t2--/session-03e4454b-47d3-4075-9a2b-343ccc2baa74/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_coding-c1_deadlock_t2.log
grok,grok,grok-4.6,coding,c2_perf,2,high,agentic,185,23238,63872,2004,0,0.071274,1,0,1,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_coding-c2_perf_t2--/session-8c1f497c-3891-42e2-ae64-0b29fbc01ef4/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_coding-c2_perf_t2.log
gpt-sol,gpt,gpt-5.6-sol,agentic-workflow,a2_buildtestfix,1,high,agentic,80,39,131476,3193,0,0.161723,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_agentic-workflow-a2_buildtestfix_t1--/session-d19d6192-4816-40f8-869c-9470a4e44f28/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_agentic-workflow-a2_buildtestfix_t1.log
gpt-sol,gpt,gpt-5.6-sol,coding,c1_deadlock,1,high,agentic,170,66,306149,5438,0,0.316545,1,0,4,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_coding-c1_deadlock_t1--/session-62c6fe38-06a9-4ce6-8891-3896db34164d/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_coding-c1_deadlock_t1.log
gpt-sol,gpt,gpt-5.6-sol,coding,c2_perf,1,high,agentic,114,36,129789,6039,0,0.246245,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_coding-c2_perf_t1--/session-545027ab-b81e-4c88-bbb2-f8dc060975fe/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_coding-c2_perf_t1.log
gpt-sol,gpt,gpt-5.6-sol,agentic-workflow,a1_chained,2,high,agentic,105,57,241682,4136,0,0.245206,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_agentic-workflow-a1_chained_t2--/session-4dc7b77b-d2c2-40ae-96da-f29bdd843cba/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_agentic-workflow-a1_chained_t2.log
gpt-sol,gpt,gpt-5.6-sol,agentic-workflow,a2_buildtestfix,2,high,agentic,70,33,91010,2991,0,0.135400,0,1,1,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_agentic-workflow-a2_buildtestfix_t2--/session-a81d82ea-bd5f-4185-8c65-5680279cb65d/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_agentic-workflow-a2_buildtestfix_t2.log
gpt-sol,gpt,gpt-5.6-sol,coding,c1_deadlock,2,high,agentic,145,60,258500,5292,0,0.288310,1,0,4,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_coding-c1_deadlock_t2--/session-69c6a20f-2b62-46a7-bfa0-964ee36b9c1c/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_coding-c1_deadlock_t2.log
gpt-sol,gpt,gpt-5.6-sol,coding,c2_perf,2,high,agentic,264,72,382483,11608,0,0.539841,1,0,1,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_coding-c2_perf_t2--/session-8391eef4-8f29-422e-b04b-1b088258d5f9/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_coding-c2_perf_t2.log
deepseek-pro,deepseek,deepseek-v4-pro,coding,c2_perf,2,high,agentic,459,6524,793984,39796,28762,0.044032,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_coding-c2_perf_t2--/session-43aac520-7125-49da-9954-791c354fa220/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_coding-c2_perf_t2.log
deepseek-flash,deepseek,deepseek-v4-flash,coding,c3_adversarial,1,high,agentic,23,10712,77184,2213,260,0.002335,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_coding-c3_adversarial_t1--/session-e738bfd9-4e79-4209-824c-b47caa38b63e/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_coding-c3_adversarial_t1.log
deepseek-pro,deepseek,deepseek-v4-pro,coding,c3_adversarial,1,high,agentic,22,10436,52096,1367,53,0.006010,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_coding-c3_adversarial_t1--/session-62d43b2a-39fe-4cdf-ae22-7a79e64c79bc/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_coding-c3_adversarial_t1.log
gpt-sol,gpt,gpt-5.6-sol,coding,c3_adversarial,1,high,agentic,57,24,64876,2492,0,0.107318,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_coding-c3_adversarial_t1--/session-375adfb8-49e9-4e72-ba5c-69dec9abeb88/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_coding-c3_adversarial_t1.log
grok,grok,grok-4.6,coding,c3_adversarial,1,high,agentic,20,11527,51584,645,0,0.037241,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_coding-c3_adversarial_t1--/session-c4ec7ba5-e990-44c8-85a1-571e9114dcd9/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_coding-c3_adversarial_t1.log
deepseek-flash,deepseek,deepseek-v4-flash,coding,c3_adversarial,2,high,agentic,19,10288,42112,1700,535,0.002034,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_coding-c3_adversarial_t2--/session-686aa87b-3877-4687-a8a3-7b040a3ce8b3/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_coding-c3_adversarial_t2.log
deepseek-pro,deepseek,deepseek-v4-pro,coding,c3_adversarial,2,high,agentic,342,12250,403840,24455,18179,0.029813,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_coding-c3_adversarial_t2--/session-1495ecfc-534e-4a84-adc9-cbc985d0a010/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_coding-c3_adversarial_t2.log
gpt-sol,gpt,gpt-5.6-sol,coding,c3_adversarial,2,high,agentic,83,36,105765,3356,0,0.153743,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_coding-c3_adversarial_t2--/session-48a76735-a8f0-4500-88c5-feaa8a64a2b4/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_coding-c3_adversarial_t2.log
grok,grok,grok-4.6,coding,c3_adversarial,2,high,agentic,22,11585,52352,672,0,0.037672,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_coding-c3_adversarial_t2--/session-564aa7bf-d19a-4363-8d21-26a7de0f44a3/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_coding-c3_adversarial_t2.log
deepseek-flash,deepseek,deepseek-v4-flash,agentic-workflow,a2_buildtestfix,3,high,agentic,72,12730,139008,10067,7315,0.004990,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-flash_agentic-workflow-a2_buildtestfix_t3--/session-d7a97fb4-8622-47e8-9052-5d8fc412e1b7/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_agentic-workflow-a2_buildtestfix_t3.log
deepseek-pro,deepseek,deepseek-v4-pro,agentic-workflow,a2_buildtestfix,3,high,agentic,61,12351,93952,5233,2561,0.010529,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-deepseek-pro_agentic-workflow-a2_buildtestfix_t3--/session-2b8fa0e0-40d7-4e32-8f06-acc22414b2d6/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_agentic-workflow-a2_buildtestfix_t3.log
gpt-sol,gpt,gpt-5.6-sol,agentic-workflow,a2_buildtestfix,3,high,agentic,64,36,101471,2799,0,0.134885,0,1,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-gpt-sol_agentic-workflow-a2_buildtestfix_t3--/session-c32b3100-4d33-404c-8264-d0ce6d537c12/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_agentic-workflow-a2_buildtestfix_t3.log
grok,grok,grok-4.6,agentic-workflow,a2_buildtestfix,3,high,agentic,34,27017,44416,1618,0,0.072625,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-grok_agentic-workflow-a2_buildtestfix_t3--/session-fb8e77eb-783c-487e-95d3-d54a8f5520ba/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_agentic-workflow-a2_buildtestfix_t3.log
mtplx,mtplx,mtplx,coding,c3_adversarial,1,high,agentic,120,14507,57199,2843,0,0.000000,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-mtplx_coding-c3_adversarial_t1--/session-d28b6e2c-1571-4e5a-8b8e-f816291eaf12/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/mtplx_coding-c3_adversarial_t1.log
mtplx,mtplx,mtplx,coding,c1_deadlock,1,high,agentic,1391,19281,287984,24610,0,0.000000,1,0,6,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-mtplx_coding-c1_deadlock_t1--/session-fc95de8b-76a4-4556-8117-b5b368c1eafc/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/mtplx_coding-c1_deadlock_t1.log
mtplx,mtplx,mtplx,coding,c2_perf,1,high,agentic,1800,6135,52512,28955,0,0.000000,0,1,25,timeout_1800s,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-mtplx_coding-c2_perf_t1--/session-5661178a-7428-48a1-aaf8-b1f50982f9a9/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/mtplx_coding-c2_perf_t1.log
mtplx,mtplx,mtplx,agentic-workflow,a1_chained,1,high,agentic,1283,23295,193717,21859,0,0.000000,1,0,0,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-mtplx_agentic-workflow-a1_chained_t1--/session-b62e9fe0-60d2-41c1-817f-59ac16533d2f/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/mtplx_agentic-workflow-a1_chained_t1.log
mtplx,mtplx,mtplx,agentic-workflow,a2_buildtestfix,1,high,agentic,278,28052,103757,6675,0,0.000000,1,0,1,,/Users/eranshir/Documents/Projects/deepseek/bench3/.dsh-home/sessions/--Users-eranshir-Documents-Projects-deepseek-bench3-work-mtplx_agentic-workflow-a2_buildtestfix_t1--/session-c14ada4a-1aa5-4679-a21c-bfc0e2e040e2/session.jsonl.zstd,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/mtplx_agentic-workflow-a2_buildtestfix_t1.log
