arm,vendor,model,category,task,trial,effort,mode,seconds,input_tokens,cache_read_tokens,output_tokens,reasoning_tokens,cost_usd,passed,tests_failed,grade_seconds,notes,session_path,log_path
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r2_expectedflips,3,high,singleshot,7,151,128,854,579,0.000261,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r2_expectedflips_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,tool-use,tool-use/t1_orchestrate,3,high,singleshot,6,899,896,932,592,0.000389,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_tool-use-t1_orchestrate_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,tool-use,tool-use/t2_toolselect,3,high,singleshot,3,1108,1024,340,240,0.000253,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_tool-use-t2_toolselect_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,writing,writing/w1_explain,3,off,singleshot,3,50,0,223,0,6.9e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_writing-w1_explain_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,writing,writing/w2_rewrite,3,off,singleshot,1,296,256,97,0,6.9e-05,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_writing-w2_rewrite_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,creativity,creativity/k1_product,1,off,singleshot,16,134,0,814,0,0.000764,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_creativity-k1_product_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,creativity,creativity/k2_story,1,off,singleshot,5,87,0,192,0,0.000204,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_creativity-k2_story_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,tool-use,tool-use/t1_orchestrate,1,high,singleshot,4,440,0,300,233,0.0112,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_tool-use-t1_orchestrate_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,tool-use,tool-use/t2_toolselect,1,high,singleshot,1,483,0,58,34,0.004155,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_tool-use-t2_toolselect_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r1_tiling,1,high,singleshot,216,136,0,20000,20000,0.017457,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r1_tiling_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r2_expectedflips,1,high,singleshot,15,151,0,1350,1050,0.001238,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r2_expectedflips_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,tool-use,tool-use/t1_orchestrate,1,high,singleshot,10,899,0,998,662,0.001246,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_tool-use-t1_orchestrate_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,tool-use,tool-use/t2_toolselect,1,high,singleshot,4,1108,0,293,244,0.00072,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_tool-use-t2_toolselect_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,writing,writing/w1_explain,1,off,singleshot,3,50,0,149,0,0.000151,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_writing-w1_explain_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,writing,writing/w2_rewrite,1,off,singleshot,2,296,0,107,0,0.000217,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_writing-w2_rewrite_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,creativity,creativity/k1_product,2,off,singleshot,16,134,128,844,0,0.000792,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_creativity-k1_product_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,creativity,creativity/k2_story,2,off,singleshot,5,87,0,226,0,0.000233,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_creativity-k2_story_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r1_tiling,2,high,singleshot,195,136,128,18878,18223,0.016482,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r1_tiling_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r2_expectedflips,2,high,singleshot,18,151,128,1570,1311,0.00143,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r2_expectedflips_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,tool-use,tool-use/t1_orchestrate,2,high,singleshot,6,899,896,619,314,0.000924,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_tool-use-t1_orchestrate_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,tool-use,tool-use/t2_toolselect,2,high,singleshot,3,1108,1024,235,186,0.000678,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_tool-use-t2_toolselect_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,writing,writing/w1_explain,2,off,singleshot,4,50,0,166,0,0.000165,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_writing-w1_explain_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,writing,writing/w2_rewrite,2,off,singleshot,1,296,256,112,0,0.000224,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_writing-w2_rewrite_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,creativity,creativity/k1_product,3,off,singleshot,18,134,128,793,0,0.000747,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_creativity-k1_product_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,creativity,creativity/k2_story,3,off,singleshot,4,87,0,176,0,0.00019,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_creativity-k2_story_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r1_tiling,3,high,singleshot,137,136,128,12957,12315,0.011331,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r1_tiling_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r2_expectedflips,3,high,singleshot,21,151,128,1866,1605,0.001688,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r2_expectedflips_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,tool-use,tool-use/t1_orchestrate,3,high,singleshot,11,899,896,1090,747,0.001333,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_tool-use-t1_orchestrate_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,tool-use,tool-use/t2_toolselect,3,high,singleshot,6,1108,1024,526,477,0.000932,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_tool-use-t2_toolselect_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,writing,writing/w1_explain,3,off,singleshot,4,50,0,189,0,0.000185,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_writing-w1_explain_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,writing,writing/w2_rewrite,3,off,singleshot,2,296,256,114,0,0.000226,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_writing-w2_rewrite_t3.json
grok,xAI,grok-4.6,creativity,creativity/k1_product,1,off,singleshot,30,339,128,465,791,0.003494,1,0,0,xai_ticks=80220000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_creativity-k1_product_t1.json
grok,xAI,grok-4.6,creativity,creativity/k2_story,1,off,singleshot,42,290,128,248,2762,0.002094,1,0,0,xai_ticks=184480000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_creativity-k2_story_t1.json
grok,xAI,grok-4.6,reasoning,reasoning/r1_tiling,1,high,singleshot,154,260,128,430,8079,0.003126,1,0,0,xai_ticks=513820000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r1_tiling_t1.json
grok,xAI,grok-4.6,reasoning,reasoning/r2_expectedflips,1,high,singleshot,14,274,128,261,661,0.00214,1,0,0,xai_ticks=58880000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r2_expectedflips_t1.json
grok,xAI,grok-4.6,tool-use,tool-use/t1_orchestrate,1,high,singleshot,17,834,128,186,1070,0.00281,0,1,0,xai_ticks=90120000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_tool-use-t1_orchestrate_t1.json
grok,xAI,grok-4.6,tool-use,tool-use/t2_toolselect,1,high,singleshot,4,1067,128,19,290,0.002274,0,1,0,xai_ticks=37960000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_tool-use-t2_toolselect_t1.json
grok,xAI,grok-4.6,writing,writing/w1_explain,1,off,singleshot,9,254,128,161,257,0.0015,1,0,0,xai_ticks=28240000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_writing-w1_explain_t1.json
grok,xAI,grok-4.6,writing,writing/w2_rewrite,1,off,singleshot,95,497,128,144,7952,0.001884,1,0,0,xai_ticks=493780000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_writing-w2_rewrite_t1.json
grok,xAI,grok-4.6,creativity,creativity/k1_product,2,off,singleshot,21,339,128,380,436,0.002984,1,0,0,xai_ticks=53820000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_creativity-k1_product_t2.json
grok,xAI,grok-4.6,creativity,creativity/k2_story,2,off,singleshot,61,290,128,250,4320,0.002106,1,0,0,xai_ticks=278080000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_creativity-k2_story_t2.json
grok,xAI,grok-4.6,reasoning,reasoning/r1_tiling,2,high,singleshot,133,260,128,428,7524,0.003114,1,0,0,xai_ticks=480400000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r1_tiling_t2.json
grok,xAI,grok-4.6,reasoning,reasoning/r2_expectedflips,2,high,singleshot,18,274,256,260,757,0.002159,1,0,0,xai_ticks=62660000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r2_expectedflips_t2.json
grok,xAI,grok-4.6,tool-use,tool-use/t1_orchestrate,2,high,singleshot,15,834,768,228,1022,0.00319,0,1,0,xai_ticks=80160000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_tool-use-t1_orchestrate_t2.json
grok,xAI,grok-4.6,tool-use,tool-use/t2_toolselect,2,high,singleshot,4,1067,128,19,295,0.002274,0,1,0,xai_ticks=38260000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_tool-use-t2_toolselect_t2.json
grok,xAI,grok-4.6,writing,writing/w1_explain,2,off,singleshot,10,254,128,139,384,0.001368,1,0,0,xai_ticks=34540000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_writing-w1_explain_t2.json
grok,xAI,grok-4.6,writing,writing/w2_rewrite,2,off,singleshot,92,497,384,99,8482,0.001665,1,0,0,xai_ticks=519040000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_writing-w2_rewrite_t2.json
grok,xAI,grok-4.6,creativity,creativity/k1_product,3,off,singleshot,33,339,256,393,879,0.003087,1,0,0,xai_ticks=79260000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_creativity-k1_product_t3.json
grok,xAI,grok-4.6,creativity,creativity/k2_story,3,off,singleshot,70,290,256,243,4506,0.002089,1,0,0,xai_ticks=286900000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_creativity-k2_story_t3.json
grok,xAI,grok-4.6,reasoning,reasoning/r1_tiling,3,high,singleshot,121,260,256,427,6446,0.003133,1,0,0,xai_ticks=413740000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r1_tiling_t3.json
grok,xAI,grok-4.6,reasoning,reasoning/r2_expectedflips,3,high,singleshot,12,274,256,256,527,0.002135,1,0,0,xai_ticks=48620000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r2_expectedflips_t3.json
grok,xAI,grok-4.6,tool-use,tool-use/t1_orchestrate,3,high,singleshot,20,834,768,248,1248,0.00331,0,1,0,xai_ticks=94920000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_tool-use-t1_orchestrate_t3.json
grok,xAI,grok-4.6,tool-use,tool-use/t2_toolselect,3,high,singleshot,5,1067,1024,19,427,0.002453,0,1,0,xai_ticks=32740000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_tool-use-t2_toolselect_t3.json
grok,xAI,grok-4.6,writing,writing/w1_explain,3,off,singleshot,12,254,128,204,441,0.001758,1,0,0,xai_ticks=41860000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_writing-w1_explain_t3.json
grok,xAI,grok-4.6,writing,writing/w2_rewrite,3,off,singleshot,86,497,384,115,7238,0.001761,1,0,0,xai_ticks=445360000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_writing-w2_rewrite_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,creativity,creativity/k1_product,1,off,singleshot,24,136,0,1043,512,0.03197,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_creativity-k1_product_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,creativity,creativity/k2_story,1,off,singleshot,24,89,0,1573,1300,0.047635,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_creativity-k2_story_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r1_tiling,1,high,singleshot,37,59,0,2413,1769,0.072685,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r1_tiling_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r2_expectedflips,1,high,singleshot,4,72,0,345,101,0.01071,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r2_expectedflips_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,writing,writing/w1_explain,1,off,singleshot,5,52,0,233,96,0.00725,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_writing-w1_explain_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,writing,writing/w2_rewrite,1,off,singleshot,6,297,0,243,132,0.008775,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_writing-w2_rewrite_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,creativity,creativity/k1_product,2,off,singleshot,35,136,0,1619,1085,0.04925,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_creativity-k1_product_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,creativity,creativity/k2_story,2,off,singleshot,22,89,0,1635,1362,0.049495,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_creativity-k2_story_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r1_tiling,2,high,singleshot,40,59,0,2695,2048,0.081145,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r1_tiling_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r2_expectedflips,2,high,singleshot,4,72,0,324,98,0.01008,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r2_expectedflips_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,tool-use,tool-use/t1_orchestrate,2,high,singleshot,7,440,0,293,226,0.01099,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_tool-use-t1_orchestrate_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,tool-use,tool-use/t2_toolselect,2,high,singleshot,2,483,0,58,34,0.004155,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_tool-use-t2_toolselect_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,writing,writing/w1_explain,2,off,singleshot,4,52,0,208,44,0.0065,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_writing-w1_explain_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,writing,writing/w2_rewrite,2,off,singleshot,36,297,0,2469,2335,0.075555,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_writing-w2_rewrite_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,creativity,creativity/k1_product,3,off,singleshot,34,136,0,1461,1024,0.04451,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_creativity-k1_product_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,creativity,creativity/k2_story,3,off,singleshot,25,89,0,1731,1451,0.052375,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_creativity-k2_story_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r1_tiling,3,high,singleshot,42,59,0,2735,2048,0.082345,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r1_tiling_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r2_expectedflips,3,high,singleshot,4,72,0,337,79,0.01047,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r2_expectedflips_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,tool-use,tool-use/t1_orchestrate,3,high,singleshot,5,440,0,341,274,0.01243,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_tool-use-t1_orchestrate_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,tool-use,tool-use/t2_toolselect,3,high,singleshot,2,483,0,49,25,0.003885,0,1,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_tool-use-t2_toolselect_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,writing,writing/w1_explain,3,off,singleshot,9,52,0,470,306,0.01436,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_writing-w1_explain_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,writing,writing/w2_rewrite,3,off,singleshot,19,297,0,1383,1261,0.042975,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_writing-w2_rewrite_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r3_die_expected,1,high,singleshot,7,155,0,885,623,0.000269,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r3_die_expected_t1.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r3_die_expected,1,high,singleshot,19,155,0,1749,1339,0.001587,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r3_die_expected_t1.json
grok,xAI,grok-4.6,reasoning,reasoning/r3_die_expected,1,high,singleshot,16,275,128,347,842,0.002658,1,0,0,xai_ticks=74920000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r3_die_expected_t1.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r3_die_expected,1,high,singleshot,7,76,0,411,95,0.01271,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r3_die_expected_t1.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r3_die_expected,2,high,singleshot,5,155,128,610,378,0.000193,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r3_die_expected_t2.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r3_die_expected,2,high,singleshot,15,155,128,1420,1063,0.001302,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r3_die_expected_t2.json
grok,xAI,grok-4.6,reasoning,reasoning/r3_die_expected,2,high,singleshot,18,275,128,346,1190,0.002652,1,0,0,xai_ticks=95740000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r3_die_expected_t2.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r3_die_expected,2,high,singleshot,6,76,0,364,97,0.0113,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r3_die_expected_t2.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r3_die_expected,3,high,singleshot,10,155,128,1028,855,0.00031,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r3_die_expected_t3.json
deepseek-pro,DeepSeek,deepseek-v4-pro,reasoning,reasoning/r3_die_expected,3,high,singleshot,17,155,128,1647,1301,0.001499,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-pro_reasoning-r3_die_expected_t3.json
grok,xAI,grok-4.6,reasoning,reasoning/r3_die_expected,3,high,singleshot,12,275,256,310,622,0.002461,1,0,0,xai_ticks=57580000,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/grok_reasoning-r3_die_expected_t3.json
gpt-sol,OpenAI,gpt-5.6-sol,reasoning,reasoning/r3_die_expected,3,high,singleshot,7,76,0,426,198,0.01316,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/gpt-sol_reasoning-r3_die_expected_t3.json
deepseek-flash,DeepSeek,deepseek-v4-flash,reasoning,reasoning/r4_catalan,1,high,singleshot,54,170,0,5967,5775,0.001695,1,0,0,,,/Users/eranshir/Documents/Projects/deepseek/bench3/runs/deepseek-flash_reasoning-r4_catalan_t1.json
